ts	phase	decision	why	evidence	result
2026-09-08T06:12:09.412739+00:00	scope	Build eight separate PR branches from current main	Keep authorized repairs reviewable without deployment	base c84d3098	PR10 now reviews PostGIS ingestion/API instead of obsolete Git publishing
2026-09-08T11:35:29.278250+00:00	refresh	Merge new ten-minute authenticated collection and polygon API into all branches	The user updated architecture during implementation	base ed995768	All changes retained;old PR10 patch saved and reworked
2026-09-08T11:35:29.278282+00:00	pr3	Scope pollers, metadata completions and deduplication to account and selection	Old responses and raw data caches must not cross account/source changes	dashboard-pr3-remaining;pr3-tests.log	Focused cases pass;role-aware view and multi-grant handling included
2026-09-08T11:35:29.278288+00:00	pr4	Use ref-based drawing with explicit completion/cancellation and cleanup	State rerenders must not restore map dragging during a lasso	dashboard-pr4-remaining;pr4-tests.log	Pointer and polygon regressions;popup listeners return cleanup
2026-09-08T11:35:29.278292+00:00	pr5	Preserve saved/shared/user selections before metadata defaults	Guest storage was discarded and default actions overwrote explicit filters	dashboard-pr5-remaining;pr5-tests.log	Precedence cases pass;branding and public operators share edition config
2026-09-08T11:35:29.278296+00:00	pr6	Reject malformed CSV records and render imports as parking observations	Silent truncation and fake trip semantics mislead readers	dashboard-pr6-remaining;pr6-tests.log	10MB/50000-row caps;history delta export disabled with explicit explanation
2026-09-08T11:35:29.278300+00:00	pr8	Separate displayed/requested frame identity and bound completed-frame cache	Timeline must not label old geometry with a requested timestamp	dashboard-pr8-remaining;pr8-tests.log	4-frame/20MB cache;owned aborts;loading-aware playback and target retry
2026-09-08T11:35:29.278304+00:00	pr9	Bound local trip requests and display failures explicitly	Raw nationwide or long-period requests need budgets	dashboard-pr9-remaining;pr9-tests.log	31day/10MB/50000-trip bounds;real UTC requests and cancellation
2026-09-08T11:35:29.278307+00:00	pr10	Retain PostGIS ingestion and add transient transaction retry and read budgets	Git publishing was already retired by recent main changes	dashboard-pr10-remaining;pr10-tests.log	Disposable PostGIS tests;no production modification;indefinite retention documented
2026-09-08T11:35:29.278311+00:00	pr11	Pin compiler/types and restore CI without deployment credentials	Two stale test suites and unpinned tooling blocked useful checks	dashboard-pr11-remaining;pr11-tests.log;pr11-typecheck.log;pr11-install.log	Baseline66 tests pass;scoped typecheck passes;IaC dependencies isolated
2026-09-08T11:49:16.591621+00:00	final-fixes	Fix build hook, CSV persistence and request loading cleanup	Combined validation exposed integration gaps	9620de9a;8644c1eb;c1eaa231;23e3173e	Final code and dependency baseline committed
2026-09-08T11:49:16.591621+00:00	validation	Validate all eight proposals together after a clean install	Individual focused suites do not establish integration correctness	integration-tests-final.log;integration-typecheck-final.log;integration-build-final.log;pr10-tests.log	89 Jest tests;37 Python tests;scoped typecheck and production build pass
2026-09-08T11:49:16.591621+00:00	review	Correct stale PR8 evidence and remove stray README heading	Different-model review flagged evidence and doc defects	pr8-ui-tests.log;integration-tests-final.log;2a15e31d	Supersedes pr8-tests.log;artifact-only gpt-5.5 review
2026-09-08T11:49:16.591621+00:00	publication	Push eight branches and open PRs against fork main	User authorized remaining revised proposals	PRs #14 through #21	Not merged or deployed;disposable test database removed
